Title,imbd_id,tmbd_id,year
Grimcutty,tt17196124,1024530,2022
Prey,tt11866324,766507,2022
Chainsaw Man,tt13616990,114410,2022
Rick and Morty,tt2861424,60625,2013
American Horror Story,tt1844624,1413,2011
The Good Doctor,tt6470478,71712,2017
Grey's Anatomy,tt0413573,1416,2005
La Princesa,tt15738214,1008779,2022
SPY x FAMILY,tt13706018,120089,2022
The Ledge,tt6805938,924482,2022
Rosaline,tt1777606,826769,2022
The Lord of the Skies,tt2777882,44953,2013
The Simpsons,tt0096697,456,1989
Law & Order: Special Victims Unit,tt0203259,2734,1999
Vikings,tt2306299,44217,2013
The Cleaning Lady,tt11188682,125282,2022
9-1-1,tt7235466,75219,2018
The Princess,tt13406136,759175,2022
The Handmaid's Tale,tt5834204,69478,2017
After,tt4126476,537915,2019
Criminal Minds,tt0452046,4057,2005
9 Bullets,tt13680520,777831,2022
The Boss Baby 2: Family Business,tt6932874,459151,2021
Family Guy,tt0182576,1434,1999
Vendetta,tt14849038,894169,2022
American Sicario,tt13322120,893297,2021
Riverdale,tt5420376,69050,2017
Regular Show,tt1710308,31132,2010
S.W.A.T.,tt6111130,71790,2017
Hidden Passion,tt0387763,11250,2003
The Requin,tt11348232,803114,2022
Hollyoaks,tt0112004,966,1995
Bones,tt0460627,1911,2005
Naruto,tt0409591,46260,2002
Malcolm in the Middle,tt0212671,2004,2000
Dragon Ball Super,tt4644488,62715,2015
The Rookie,tt7587890,79744,2018
The King's Man,tt6856242,476669,2021
No Exit,tt7550014,833425,2022
Bleach,tt0434665,30984,2004
American Horror Stories,tt12306692,113036,2021
Fear the Walking Dead,tt3743822,62286,2015
The Croods: A New Age,tt2850386,529203,2020
Teen Wolf,tt1567432,34524,2011
Mike,tt14181914,135250,2022
Naruto Shippūden,tt0988824,31910,2007
Prison Break,tt0455275,2288,2005
Blue Bloods,tt1595859,32692,2010
CSI: Crime Scene Investigation,tt0247082,1431,2000
The Desperate Hour,tt13133936,764835,2021
Castle,tt1219024,1419,2009
My Friend Dahmer,tt2291540,445040,2017
Murdoch Mysteries,tt1091909,12786,2008
Hunter x Hunter,tt2098220,46298,2011
Smallville,tt0279600,4604,2001
Cruel Summer,tt11083696,98201,2021
Fireheart,tt8354218,778810,2022
Siren,tt5615700,71886,2018
WarHunt,tt6442686,697799,2022
See for Me,tt11209212,825808,2021
American Dad!,tt0397306,1433,2005
Modern Family,tt1442437,1421,2009
Station 19,tt7053188,76773,2018
How I Met Your Mother,tt0460649,1100,2005
One-Punch Man,tt4508902,63926,2015
Hitman: Agent 47,tt2679042,249070,2015
Gravity Falls,tt1865718,40075,2012
Indemnity,tt7914022,854467,2021
Gold,tt6020800,760926,2022
The Amazing World of Gumball,tt1942683,37606,2011
Adventure Time,tt1305826,15260,2010
Sons of Anarchy,tt1124373,1409,2008
CSI: Miami,tt0313043,1620,2002
The Kardashians,tt15791630,154521,2022
Antlers,tt7740510,516329,2021
General Hospital,tt0056758,987,1963
Vanguard,tt9695722,604822,2020
Futurama,tt0149460,615,1999
High School DxD,tt2230051,45950,2012
Tokyo Ghoul,tt3741634,61374,2014
Lost,tt0411008,4607,2004
The Tonight Show Starring Jimmy Fallon,tt3444938,59941,2014
