Title,averageRating,voteCount
Terrifier 2,7.5,128
Black Adam,7.1,501
Jeepers Creepers: Reborn,5.8,358
Halloween Ends,6.7,684
Звёздный разум,5.5,130
Fall,7.3,1546
Orphan: First Kill,6.8,1119
Bullet Train,7.5,2007
Hocus Pocus 2,7.6,888
The Infernal Machine,7,103
Secret Headquarters,6.8,125
Grimcutty,5.8,158
Pinocchio,6.7,977
Lou,6.6,313
Beast,7,711
Code Name Banshee,4.7,35
Thor: Love and Thunder,6.7,4390
Terrifier,6.5,725
Prey,7.9,4428
Jurassic World Dominion,7,3715
The School for Good and Evil,7.4,329
Bullet Proof,5.5,19
Top Gun: Maverick,8.4,4432
Batman and Superman: Battle of the Super Sons,8,114
The Curse of Bridge Hollow,7,199
DC League of Super-Pets,7.5,867
Spider-Man: No Way Home,8,15603
Samaritan,6.9,1321
Smile,6.7,301
Monster High: The Movie,7,109
Terrifier,6.5,33
Minions: The Rise of Gru,7.5,2225
After Ever Happy,7,483
Crawlspace,7.4,56
Doctor Strange in the Multiverse of Madness,7.5,6154
Sonic the Hedgehog 2,7.7,3217
Stowaway,6.8,35
The Black Phone,7.9,2916
Coco,8.2,16296
Paws of Fury: The Legend of Hank,6.8,167
Luck,7.9,835
Wire Room,6.9,96
Lightyear,7.2,2271
White Elephant,6.5,81
Superman/Shazam!: The Return of Black Adam,7.3,812
The Batman,7.7,6570
Trick or Treat Scooby-Doo!,7.3,98
End of the Road,6.5,187
Werewolf by Night,7.2,520
Don't Worry Darling,6.9,541
Brothers,7.2,2570
Mortal Kombat Legends: Snow Blind,8,68
Devil's Workshop,6.2,44
The Ledge,6.3,120
Welcome to the Club,6.7,108
Avatar,7.5,26399
Turning Red,7.5,3453
Clerks III,6.9,46
Encanto,7.7,7502
Bring It On: Cheer or Die,6.6,55
The Greatest Beer Run Ever,7.9,287
The Lost City,6.8,2099
Fantastic Beasts: The Secrets of Dumbledore,6.8,2885
The Jack in the Box: Awakening,6.4,178
The Northman,7.2,2564
Venom: Let There Be Carnage,6.9,8147
Looks Can Kill,5.3,8
Hotel Transylvania: Transformania,7.1,1248
Avatar: The Way of Water,0,0
Luckiest Girl Alive,6.7,361
Memory,7.2,893
Mr. Harrigan's Phone,6.7,360
Nope,7,1849
Office Invasion,5.8,88
Dog,7.4,960
Uncharted,7.1,3770
The Exorcism of God,7.3,666
Hunting Ava Bravo,6.5,80
Black Panther: Wakanda Forever,0,0
Sniper: Rogue Mission,6.8,63
Day Shift,6.9,1224
Rosaline,7.5,100
The Nightmare Before Christmas,7.8,7786
The Bad Guys,7.7,1091
Morbius,6.3,2800
Your Boyfriend Is Mine,6.8,38
Groot's First Steps,7.4,178
Black Site,7,117
Last Seen Alive,6.5,387
Avengers: Infinity War,8.3,25616
X,6.8,1124
Curious Caterer: Dying for Chocolate,6.3,12
Barbie: Mermaid Power,7.7,20
The Boss Baby: Family Business,7.5,2090
The Aviary,5.9,19
Harry Potter and the Goblet of Fire,7.8,17831
Homebound,4.8,4
The Woman King,7.4,170
Harry Potter and the Chamber of Secrets,7.7,18845
Sing 2,8,3227
Halloween Kills,6.6,2014
Corpse Bride,7.5,7514
Cruella,8.1,7604
Groot Takes a Bath,7.1,159
The Gray Man,7,2280
Harry Potter and the Philosopher's Stone,7.9,23427
Zack Snyder's Justice League,8.2,8255
Barbarian,7.1,136
The Princess,6.9,561
It Chapter Two,6.9,7281
365 Days: This Day,5.9,913
Moonfall,6.4,1957
Harry Potter and the Half-Blood Prince,7.7,16702
The Munsters,6.1,115
Shang-Chi and the Legend of the Ten Rings,7.7,7327
Harry Potter and the Prisoner of Azkaban,8,18536
The Ice Age Adventures of Buck Wild,6.7,1373
Mortal Kombat,7.2,4935
Catch the Fair One,6.5,31
The Conjuring: The Devil Made Me Do It,7.6,4726
Jumping from High Places,5.3,16
Harry Potter and the Deathly Hallows: Part 2,8.1,17838
Last Man Down,6.2,562
Shrek,7.7,14412
Luca,7.9,6779
Harry Potter and the Order of the Phoenix,7.7,16879
After We Fell,7.1,1973
Hacksaw Ridge,8.2,11556
Coraline,7.8,6123
The Contractor,6.5,547
Hocus Pocus,7.1,2444
Blonde,6.4,627
A Quiet Place Part II,7.6,4774
Ticket to Paradise,6.8,140
Resident Evil: Welcome to Raccoon City,6.1,1854
Eternals,7,6429
Me Time,6,493
Ivy + Bean: The Ghost That Had to Go,5,4
Blade of the 47 Ronin,7.5,13
The Tomorrow War,7.9,5911
Vendetta,6.4,174
